time_ms,heading,roll,pitch,ax,ay,az,gx,gy,gz
1296489,184.37,-4.00,-17.31,-0.580,2.780,9.380,4.812,4.687,-0.812
1296511,184.37,-4.00,-17.37,-0.870,3.000,9.380,0.750,-0.625,-0.062
1296536,184.37,-4.00,-17.37,-0.570,2.870,9.310,-0.250,-1.625,0.375
1296558,184.37,-4.00,-17.44,-0.510,2.960,9.360,3.313,0.625,0.375
1296580,184.37,-4.00,-17.50,-0.590,3.170,9.630,3.875,1.812,-0.250
1296606,184.37,-4.00,-17.50,-0.670,3.070,9.410,-1.750,-0.250,-0.375
1296628,184.37,-4.00,-17.50,-0.560,2.900,9.270,-2.938,-0.937,0.187
1296650,184.37,-4.00,-17.44,-0.590,2.890,9.390,-1.625,-0.375,0.125
1296672,184.37,-4.00,-17.44,-0.590,2.960,9.430,-0.187,0.437,-0.187
1296697,184.37,-4.00,-17.44,-0.580,2.900,9.360,0.312,0.312,-0.062
1296719,184.37,-4.00,-17.44,-0.600,2.940,9.380,1.125,0.250,0.062
1296741,184.37,-4.00,-17.44,-0.600,3.040,9.480,1.562,0.500,0.062
1296763,184.37,-4.00,-17.50,-0.610,3.040,9.470,0.187,0.187,0.062
1296787,184.37,-4.00,-17.50,-0.610,3.040,9.410,-0.937,-0.125,-0.062
1296809,184.37,-3.94,-17.44,-0.590,3.000,9.420,-1.437,-0.250,0.000
1296831,184.37,-3.94,-17.44,-0.600,2.970,9.410,-1.250,-0.312,0.000
1296857,184.37,-3.94,-17.44,-0.610,2.940,9.410,-0.312,0.000,0.000
1296879,184.37,-3.94,-17.44,-0.600,2.950,9.390,0.812,0.062,0.000
1296901,184.37,-3.94,-17.44,-0.600,2.960,9.410,0.875,0.312,0.062
1296927,184.37,-3.94,-17.44,-0.590,2.970,9.410,0.500,0.000,-0.062
1296949,184.37,-3.94,-17.44,-0.600,3.010,9.470,0.125,0.250,-0.125
1296971,184.37,-3.94,-17.44,-0.590,3.010,9.440,-0.500,0.000,-0.062
1296997,184.37,-3.94,-17.44,-0.610,2.950,9.400,-0.812,-0.187,-0.062
1297019,184.37,-3.94,-17.44,-0.580,2.930,9.360,-0.437,0.000,0.000
1297041,184.37,-3.94,-17.44,-0.580,2.970,9.390,0.250,0.062,-0.125
1297063,184.37,-3.94,-17.44,-0.630,2.980,9.380,0.812,0.562,-0.125
1297088,184.37,-3.94,-17.50,-0.610,3.030,9.420,0.875,0.187,0.000
1297110,184.37,-3.94,-17.50,-0.590,3.010,9.420,0.312,-0.062,0.187
1297132,184.37,-3.94,-17.50,-0.600,3.020,9.420,-0.250,-0.250,0.125
1297158,184.37,-3.94,-17.44,-0.600,2.990,9.420,-0.937,-0.250,0.062
1297180,184.37,-3.94,-17.44,-0.600,2.960,9.380,-0.875,0.000,-0.062
1297202,184.37,-3.94,-17.44,-0.610,2.930,9.410,-0.562,0.125,-0.062
1297228,184.37,-3.94,-17.44,-0.570,2.960,9.430,0.125,0.000,-0.187
1297250,184.37,-3.94,-17.44,-0.600,2.970,9.460,0.625,0.062,0.000
1297272,184.37,-3.94,-17.44,-0.590,3.000,9.400,0.625,0.250,-0.062
1297298,184.37,-3.94,-17.44,-0.600,3.000,9.430,0.187,0.062,-0.062
1297320,184.37,-3.94,-17.44,-0.600,2.970,9.400,-0.062,-0.062,-0.125
1297342,184.37,-3.94,-17.44,-0.620,2.980,9.420,-0.500,0.062,-0.125
1297364,184.37,-3.94,-17.44,-0.610,2.990,9.410,-0.562,-0.062,0.062
1297389,184.37,-3.87,-17.44,-0.590,2.980,9.420,-0.250,0.062,0.000
1297411,184.37,-3.87,-17.44,-0.610,2.980,9.410,0.062,-0.125,0.062
1297433,184.37,-3.87,-17.44,-0.620,2.970,9.390,0.125,0.000,0.125
1297460,184.37,-3.87,-17.44,-0.600,2.990,9.410,0.125,0.000,0.125
1297482,184.37,-3.87,-17.44,-0.610,2.970,9.400,0.062,0.062,0.000
1297504,184.37,-3.87,-17.44,-0.600,2.990,9.430,-0.187,-0.062,0.000
1297530,184.37,-3.87,-17.44,-0.580,2.960,9.410,-0.375,0.125,-0.062
1297552,184.37,-3.87,-17.44,-0.620,2.960,9.420,-0.250,0.000,-0.062
1297576,184.37,-3.87,-17.44,-0.630,2.970,9.420,0.250,-0.125,-0.062
1297600,184.37,-3.87,-17.44,-0.600,2.980,9.390,0.250,-0.062,0.000
1297622,184.37,-3.87,-17.44,-0.590,2.970,9.400,0.312,0.062,0.062
1297644,184.37,-3.87,-17.44,-0.610,2.980,9.400,0.062,0.187,0.000
1297666,184.37,-3.87,-17.44,-0.610,2.990,9.390,-0.187,0.375,0.000
1297690,184.37,-3.87,-17.44,-0.610,2.970,9.440,-0.250,0.125,-0.125
1297712,184.37,-3.87,-17.44,-0.610,2.970,9.450,-0.375,0.000,0.062
1297734,184.37,-3.87,-17.44,-0.600,2.960,9.390,-0.187,0.000,0.000
1297761,184.37,-3.87,-17.44,-0.580,2.960,9.370,0.125,0.000,0.062
1297783,184.37,-3.87,-17.44,-0.570,2.960,9.380,0.187,0.062,-0.062
1297807,184.37,-3.87,-17.44,-0.610,2.990,9.430,0.062,0.187,-0.062
1297831,184.37,-3.87,-17.44,-0.610,3.010,9.430,0.062,0.125,-0.062
1297853,184.37,-3.87,-17.44,-0.600,2.970,9.440,-0.125,0.062,-0.125
