pc_time_iso,time_ms,heading,roll,pitch,ax,ay,az,gx,gy,gz,activity,subject,trial
2026-04-19T19:04:54.022,,91.06,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.053,,91.06,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.086,,91.06,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.115,,91.06,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.149,,91.06,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.179,,91.06,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.210,,91.06,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.247,,91.06,-84.44,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.275,,91.12,-84.44,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.306,,91.12,-84.44,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.342,,91.12,-84.44,4.38,,,,,,,standing,aswin,03
2026-04-19T19:04:54.369,,91.12,-84.44,4.38,,,,,,,standing,aswin,03
2026-04-19T19:04:54.417,,91.12,-84.38,4.38,,,,,,,standing,aswin,03
2026-04-19T19:04:54.435,,91.12,-84.38,4.44,,,,,,,standing,aswin,03
2026-04-19T19:04:54.463,,91.19,-84.38,4.50,,,,,,,standing,aswin,03
2026-04-19T19:04:54.495,,91.19,-84.38,4.50,,,,,,,standing,aswin,03
2026-04-19T19:04:54.526,,91.19,-84.38,4.50,,,,,,,standing,aswin,03
2026-04-19T19:04:54.558,,91.19,-84.38,4.50,,,,,,,standing,aswin,03
2026-04-19T19:04:54.589,,91.19,-84.31,4.50,,,,,,,standing,aswin,03
2026-04-19T19:04:54.621,,91.19,-84.31,4.56,,,,,,,standing,aswin,03
2026-04-19T19:04:54.654,,91.19,-84.31,4.56,,,,,,,standing,aswin,03
2026-04-19T19:04:54.687,,91.19,-84.31,4.56,,,,,,,standing,aswin,03
2026-04-19T19:04:54.716,,91.19,-84.31,4.56,,,,,,,standing,aswin,03
2026-04-19T19:04:54.747,,91.19,-84.31,4.50,,,,,,,standing,aswin,03
2026-04-19T19:04:54.781,,91.12,-84.38,4.50,,,,,,,standing,aswin,03
2026-04-19T19:04:54.811,,91.06,-84.38,4.44,,,,,,,standing,aswin,03
2026-04-19T19:04:54.844,,91.06,-84.44,4.44,,,,,,,standing,aswin,03
2026-04-19T19:04:54.877,,91.00,-84.44,4.38,,,,,,,standing,aswin,03
2026-04-19T19:04:54.906,,91.00,-84.44,4.38,,,,,,,standing,aswin,03
2026-04-19T19:04:54.939,,90.94,-84.50,4.31,,,,,,,standing,aswin,03
2026-04-19T19:04:54.969,,90.88,-84.56,4.25,,,,,,,standing,aswin,03
2026-04-19T19:04:55.001,,90.88,-84.56,4.19,,,,,,,standing,aswin,03
2026-04-19T19:04:55.035,,90.81,-84.62,4.19,,,,,,,standing,aswin,03
2026-04-19T19:04:55.065,,90.75,-84.62,4.12,,,,,,,standing,aswin,03
2026-04-19T19:04:55.097,,90.75,-84.62,4.12,,,,,,,standing,aswin,03
2026-04-19T19:04:55.127,,90.75,-84.69,4.06,,,,,,,standing,aswin,03
2026-04-19T19:04:55.160,,90.75,-84.69,4.06,,,,,,,standing,aswin,03
2026-04-19T19:04:55.189,,90.75,-84.69,4.06,,,,,,,standing,aswin,03
2026-04-19T19:04:55.220,,90.75,-84.69,4.06,,,,,,,standing,aswin,03
2026-04-19T19:04:55.251,,90.75,-84.62,4.06,,,,,,,standing,aswin,03
2026-04-19T19:04:55.283,,90.69,-84.69,4.06,,,,,,,standing,aswin,03
2026-04-19T19:04:55.315,,90.69,-84.69,4.12,,,,,,,standing,aswin,03
2026-04-19T19:04:55.347,,90.69,-84.69,4.12,,,,,,,standing,aswin,03
2026-04-19T19:04:55.379,,90.69,-84.69,4.12,,,,,,,standing,aswin,03
2026-04-19T19:04:55.408,,90.69,-84.69,4.12,,,,,,,standing,aswin,03
